CONCEPT	CATEGORY	SUBCATEGORY	DESCRIPTION	DATA_TYPE	ENTRIES	ICONS	IMAGES	COMMENTS	CONTRIBUTOR	ATTRIBUTIONS	REFERENCES	LICENSE	AUDIENCE	Extra
Natural History	Trophic Strategy		Summaries general nature of feeding interactions. For example, basic mode of nutrient uptake (autotrophy, heterotrophy, coprophagy, saprophagy), position in food network (top predator, primary producer, consumer), diet categorization (detritovore, omnivore, carnivore, herbivore). Specific taxa are treated under Associations (specifying predators or prey) and associatedTaxa.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					2
Natural History	Associations		Descriptions (in narrative form) of taxa that interact with the subject taxon. Includes explicit reference to the kind of ecological interaction: Predator/prey; host/parasite, pollinators, symbiosis, mutualism, commensalism; hybridisation. Also included are relations with products grown and stored by man (plagues).	Text, StillImage, MovingImage, Sound, Icons			12.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		34	CC BY	General Audience	2
Natural History	Evolution		Description of phylogenetic and systematic treatments of the taxon based on the biological theory that animals and plants have their origin in other preexisting types and that the distinguishable differences are due to modifications in successive generations.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		35	CC BY-NC-SA	Expert	3
Natural History	Cytology		Cell biology: formation, structure and function of cells.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					3
Natural History	Genetics		Information on the genetics of the taxon, including karyotypes, barcoding status, whole genome sequencing status, ploidy.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		36	CC BY-NC-SA	Expert	3
Natural History	Molecular Biology		Includes proteomic and biochemistry (e.g Toxicity). Genomic information is usually treated under Genetics.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					4
Natural History	Diseases		Description of diseases that the organism is subject to. Disease-causing organisms can also be listed under associations.	Text, StillImage, MovingImage, Sound, Icons			11.jpg, 13.jpg, 14.jpg, 15.jpg, 16.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		37	CC BY	General Audience	4
Natural History	Miscellaneous Details		Miscellaneus: notes attached to the taxon information	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					4
Habitat and Distribution	General Habitat		General description of the sites where the species is found (ecosystem, forest, environment or microhabitat). Includes realm (e.g Terrestrial etc) and climatic information (e.g Boreal); also includes requirements and tolerances; horizontal and vertical (altitudinal) distribution. Also includes information referring to territorial extension of the individual or group in terms of its activities (feeding, mating, etc.), associated mostly to vertebrates.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		38,39,40	CC BY-NC-ND	General Audience	5
Habitat and Distribution	Distribution	Description	Enumeration of geographic entities where the taxon lives. Covers ranges, e.g., a global range, or a narrower one; may be biogeographical, political or other (e.g., managed areas like conservencies); endemism; native or exotic; ref Darwin Core Geospatial extension (http://wiki.tdwg.org/twiki/bin/view/DarwinCore/GeospatialExtension). Does not include altitudinal distribution, which is covered under Habitat.	Text, StillImage, MovingImage, Sound, Icons	distribution details				Chitra Ravi, Content Editor, India Biodiversity Portal		41,42,43,44,45,46,47	CC BY-NC-ND	General Audience	5
Habitat and Distribution	Distribution	Global Distribution Geographic Entity	Country or countries where the taxon is found. List of countries according to the ISO 3166 standard.	Text. Fixed vocabulary. Drop down box with list of countries from ISO.					Chitra Ravi, Content Editor, India Biodiversity Portal					5
Habitat and Distribution	Distribution	Indian Distribution Geographic Entity	State or States, District or Districts, Taluk or Taluks, Biogeographic region or regions in India according to IBP standard.	Text. Fixed vocabulary from IBP database. 4 drop- down boxes, like those in 'Checklist Upload Form' with lists of States, Districts, Taluks and Biogeographic regions.					Chitra Ravi, Content Editor, India Biodiversity Portal					6
Habitat and Distribution	Endemic Distribution		If the taxon is in the ecological state of being unique to a defined geographic location, such as an island, nation or other defined zone, or habitat type, and found only there; organisms that are indigenous to a place are not endemic to it if they are also found elsewhere.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					6
Habitat and Distribution	Endemic Distribution	Global Endemicity Geographic Entity	Country or countries the taxon is endemic to. List of countries according to the ISO 3166 standard.	Text. Fixed vocabulary. Drop down box with list of countries from ISO.					Chitra Ravi, Content Editor, India Biodiversity Portal					6
Habitat and Distribution	Endemic Distribution	Indian Endemicity Geographic Entity	State or States and Biogeographic region or regions in India, according to IBP standard, that the taxon is endemic to.	Text. Fixed vocabulary from IBP database. 2 drop- down boxes, like those in 'Checklist Upload Form' with lists of States and Biogeographic regions.					Chitra Ravi, Content Editor, India Biodiversity Portal					so on up to 20
Occurrence	Occurrence Records		Occurrence records derived from various databases, contributions available on the portal and sigtings, represented on a map.	Map with locations					Chitra Ravi, Content Editor, India Biodiversity Portal					
Demography and Conservation	Population Biology		Includes abundance information (population size, density) and demographics (e.g. age stratification).	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Demography and Conservation	Trends		An indication of whether a population is stable, or increasing or decreasing.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Demography and Conservation	Risk Statement		Negative impacts on humans, communities. Includes Invasiveness. [This may also include impacts on ecosystems should the organism decline or be extirpated]	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		49,50	CC BY-NC-ND	General Audience	
Demography and Conservation	Conservation Status		A description of the likelihood of the species becoming extinct in the present day or in the near future. Population size is treated under Population Biology, and trends in population sizes are treated under Trends. However, this is the preferred element if an object includes all of these things and details about conservation listings.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		51	CC BY-NC-ND	General Audience	
Demography and Conservation	Threats		The threats to which this taxon is subject.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Demography and Conservation	Legislation		Legal regulations or statutes relating to the taxon - International, National or Regional. This could include proposed or existing laws or a group of laws.						Chitra Ravi, Content Editor, India Biodiversity Portal					
Demography and Conservation	Protection Legal Status		Description of the status	Text, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal					
Uses and Management	Uses		Known or potential benefits of the species for humans, at a direct economic level, as instruments of education, prospecting, eco-tourism, etc. It includes published material or suggestions from the author or others. In any event, the source must be explicitly quoted. Can include ecosystem services. However, benefits to ecosystems not specific to humans are best treated under Risk statement (what happens when the organism is removed)	Text, StillImage, MovingImage, Sound, Icons			7.jpg, 18.jpg, 19.jpg		Chitra Ravi, Content Editor, India Biodiversity Portal		52,53,54,55,56	CC BY-SA	General Audience, Experts	
Uses and Management	Folklore			Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		57,58,59,60	CC BY-SA	General Audience	
Uses and Management	Management		Describes techniques and goals used in management of species - breeding and cultivation, control etc. May include management relative to a piece of legislation, e.g., a CITES list.	Text, StillImage, MovingImage, Sound, Icons					Chitra Ravi, Content Editor, India Biodiversity Portal		61,62,63,64	CC BY-NC-ND	General Audience	
Information Listing	Species Resources	Integrated Taxonomic Information System (ITIS)				ITIS.gif			Chitra Ravi, Content Editor, India Biodiversity Portal		65	CC BY	Expert	
Information Listing	Species Resources	The IUCN Red List of Threatened Species (IUCN)				redlist_logo.gif			Chitra Ravi, Content Editor, India Biodiversity Portal		66	CC BY-NC-ND	Expert	
Information Listing	Species Resources	Encyclopedia of Life (EOL)				eol_logo_header.png			Chitra Ravi, Content Editor, India Biodiversity Portal		67	CC BY	Expert	
Information Listing	Species Resources	Global Biodiversity Information Facility (GBIF)				gbif_logo_leaf.gif			Chitra Ravi, Content Editor, India Biodiversity Portal		68	CC BY	Expert	
Information Listing	Species Resources	National Center for Biotechnology Information (NCBI)			Literature details	ncbi.gif			Chitra Ravi, Content Editor, India Biodiversity Portal		69	CC BY	Expert	
Information Listing	References		Compilation of all text resources and publications associated with/referred to/ cited in entire page	Text					Chitra Ravi, Content Editor, India Biodiversity Portal		70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91			
Information Listing	Documents		Links to all documents on IBP referred to/associated with/ used in this entire page						Chitra Ravi, Content Editor, India Biodiversity Portal					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														description of the subtitle 1
														2
														2
														so on up to 10
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														subtitle-ecology
														
														subtitle-distribution
														
														subtile-status
														status details
														subtitle-Literature
